,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,logit_score
24481,24481,Portugal,"Vines over 20 years old are seen as old vines for this wine. A ripe wine, it is full of tropical fruits, with a dense texture and intense green-fruit acidity. Mineral with balanced fruit, it will be ready to drink from mid-2017.",QM Vinhas Velhas,90,45.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2015 QM Vinhas Velhas Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,1
24736,24736,Portugal,"This is a typically light, fruity and off dry Vinho Verde. It has an attractive, refreshing prickle on the tongue followed by crisp apples and citrus flavors. Clean, fresh and ready to drink.",Xadrez,85,,Vinho Verde,,,Roger Voss,@vossroger,Dão Sul 2013 Xadrez White (Vinho Verde),Portuguese White,Dão Sul,0
24960,24960,Portugal,"A crisp wine, fruity and with a good sense of acidity and citrus fruits. Being made from Alvarinho, it also has a richer background to give this wine great intensity despite its light weight. It is the sort of Alvarinho that needs to age, so drink ideally from early 2018.",QM Lagar,90,23.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2016 QM Lagar Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,1
25057,25057,Portugal,"Lightly fizzy, this young fruity wine is an easygoing Vinho Verde. It is just off dry, giving a soft character to the lively fruit, citrus and floral wine. It is ready to drink.",Rotas de Portugal Branco,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Santos & Seixo NV Rotas de Portugal Branco White (Vinho Verde),Portuguese White,Santos & Seixo,0
25153,25153,Portugal,"This is a rich style of Vinho Verde, smooth and ripe. Apricots and marmalade oranges dominate the flavor profile, while the citrus character pushes through strongly at the end. It's very fresh and could probably age until mid-2015.",Colheita Seleccionada,88,12.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2013 Colheita Seleccionada Avesso (Vinho Verde),Avesso,Casa de Vilacetinho,0
25622,25622,Portugal,"Ripe while still so fresh, this is a tangy, citrus-flavored wine. It has a rich creamy character that fills the mouth with a fine array of fruits, yellow fruits and pink grapefruit. The wine is ready to drink.",Primeiras Vinhas,90,25.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Soalheiro 2014 Primeiras Vinhas Alvarinho (Vinho Verde),Alvarinho,Quinta de Soalheiro,1
25758,25758,Portugal,"Still young, this wine brings out the ripe and creamy side of Alvarinho. Its citrus character is prominent along with a strong mineral texture. Weight from the skin contact during fermentation has produced a dense structure. Keep this wine until 2015.",Lua Cheia em Vinhas Velhas Nostalgia,91,22.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Lua Cheia em Vinhas Velhas Nostalgia Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,1
27119,27119,Portugal,This caramel-flavored wine has a light red fruit character. It is off dry and needs to be severely chilled.,,82,8.0,Vinho Verde,,,Roger Voss,@vossroger,Calamares 2014 Rosé (Vinho Verde),Rosé,Calamares,0
27369,27369,Portugal,"Bright pink in color, a caramel flavor resting on taut strawberries and a fresh berry character. There is a touch of apple to go with the light, bright style. Drink this year.",,85,,Vinho Verde,,,Roger Voss,@vossroger,Casa do Valle 2009 Rosé (Vinho Verde),Rosé,Casa do Valle,0
27745,27745,Portugal,"One of the most popular Vinho Verdes, this is in a light, medium-sweet style. Very fresh and crisp, with some attractive citrus acidity, and ready to drink now. Screwcap.",Casal Garcia Branco,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2012 Casal Garcia Branco White (Vinho Verde),Portuguese White,Aveleda,0
28651,28651,Portugal,There is a slight prickle that gives a surprise lift to this dry wine. Along with that is crisp fruit (lemon and apple flavors) and a refreshing amount of acidity. Drink now.,Dom Diogo,85,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2016 Dom Diogo Arinto (Vinho Verde),Arinto,Quinta da Raza,0
28652,28652,Portugal,This blend of Trajadura and Alvarinho comes from the far north of the Vinho Verde region. The wine is cool and perfumed with apricot as well as creamed pear flavors. Drink the wine now.,Blue,85,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2016 Blue White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
28654,28654,Portugal,"Light, bright and fruity this is an easy-to-drink off-dry wine for the summer. It is clean and crisp, apples and pears set off by floral aromas. Drink now.",Caiua a Noite,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Vinihold 2016 Caiua a Noite White (Vinho Verde),Portuguese White,Vinihold,0
28663,28663,Portugal,"A blend of Loureiro, Arinto and Avesso, this light and fruity wine has an edge of prickle along with great acidity and citrus flavors. It is a great summer food wine. Drink now.",Cascas,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Casca Wines NV Cascas White (Vinho Verde),Portuguese White,Casca Wines,0
28671,28671,Portugal,"Named after the pheasant (Faisão), the wine is crisp enough to be refreshing. It is medium sweet and lightly textured with orange zest. Drink now.",Faisão,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Enoport 2016 Faisão White (Vinho Verde),Portuguese White,Enoport,0
29245,29245,Portugal,"From old Alvarinho vines, this wine was fermented in wood to round it out and give extra richness. The wine certainly is full-bodied, intensely fruity, packed with apricot as well as citrus flavors. The toast element is as much a presence as a taste, giving the wine the possibility of aging. It's too fresh now; drink from 2016.",Nostalgia 10 Barricas,92,,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Nostalgia 10 Barricas Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,1
29540,29540,Portugal,"This medium-sweet rosé is a familiar style of local Portuguese wine. Fruity with raspberry flavor, it gives a slight a prickle on the tongue and has lively acidity. Drink now.",Campelo,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Campelo 2015 Campelo Rosé (Vinho Verde),Rosé,Caves Campelo,0
29596,29596,Portugal,"Avesso is the hallmark white grape from the south of the Vinho Verde region. This wine is deliciously crisp, with a touch of oak to add spice. It is full of ripe apples, with an aftertaste that brims with acidity.",Avesso Superior,88,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2016 Avesso Superior Avesso (Vinho Verde),Avesso,Casa de Vilacetinho,0
30528,30528,Portugal,"This wine, with impressive intensity for a red Vinho Verde, is ripe in attractive red berry flavors alongside crisp acidity. It is fruity, soft and ready to drink. Wines called Pardusco were exported from Portugal to England in the 14th century.",Pardusco,88,,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2013 Pardusco Red (Vinho Verde),Portuguese Red,Anselmo Mendes,0
30824,30824,Portugal,"A blend of four Vinho Verde grapes, this dry wine is crisp and spicy, with an herbal character. It has bright fruitiness, plenty of acidity and a crisp, tight, mineral aftertaste.",,87,10.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2016 White (Vinho Verde),Portuguese White,Casa de Vilacetinho,0
30992,30992,Portugal,"Named after a local landmark, this is rich for a Vinho Verde, a soft blend of Alvarinho and Trajadura that brings out white fruits as well as a more citrus character. It's very aromatic, fruity and worth keeping a few months.",Torre de Menagem,88,12.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2012 Torre de Menagem White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
31380,31380,Portugal,"A dry Vinho Verde that has crisp citrus as well as riper yellow fruits. A blend of Alvarinho with Trajadura, it comes from the north of Vinho Verde. It's perfumed, fresh and crisp while showing a full texture. Drink starting in late 2014.",Torre de Menagem Escolha,88,12.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2013 Torre de Menagem Escolha White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
31577,31577,Portugal,"Produced from oldest vines of the estate (Primeiras Vinhas), this is a rich and concentrated wine. Yellow fruits show strongly, giving ripe, intense flavors that are both refreshing and dense. It's full of fruit as well as delicious final acidity. Drink now.",Primeiras Vinhas,90,22.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Soalheiro 2013 Primeiras Vinhas Alvarinho (Vinho Verde),Alvarinho,Quinta de Soalheiro,1
32589,32589,Portugal,"Light and fruity, this is a crisply citrus wine, soft and fresh. Grapefruit and apricots are both there, showing the crisp and the rich side to this immediately attractive wine.",Lagar,87,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2013 Lagar Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,0
32599,32599,Portugal,"Almonds and ripe yellow fruits combine in this surprisingly warm Vinho Verde. It has weight and richness as well as an immediately attractive fruity style. Easy to drink now, with a touch of caramel at the end.",Eminência,87,20.0,Vinho Verde,,,Roger Voss,@vossroger,Ideal Drinks 2013 Eminência Loureiro (Vinho Verde),Loureiro,Ideal Drinks,0
33054,33054,Portugal,"Light, crisp and fruity, this is a bright, citrus driven wine. It is dry, full of ripe apricot and grapefruit flavors. The wine is ready to drink.",Maria Bonita,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Maria Bonita Loureiro (Vinho Verde),Loureiro,Wines & Winemakers,0
33071,33071,Portugal,"A bright, tight and crisp wine that is is mineral, tangy and refreshing to drink. It hints at the ripe fruits that will develope through 2017.",,87,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Santiago 2015 Alvarinho (Vinho Verde),Alvarinho,Quinta de Santiago,0
33104,33104,Portugal,"Perfect apéritif Vinho Verde, light as a feather, attractively laced with citrus and peach flavors. It has a light prickle on the tongue, with a soft aftertaste.",Salsus Colheita,84,9.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2010 Salsus Colheita White (Vinho Verde),Portuguese White,Wines & Winemakers,0
34216,34216,Portugal,"From the south of Vinho Verde, close to the Douro, this is a lively and fresh wine, bright with acidity and lifted by its prickle on the tongue. It is dry, although a soft touch of baked apple gives a gentle, fruity aftertaste.",Conde Vilar Branco,86,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta das Arcas 2014 Conde Vilar Branco White (Vinho Verde),Portuguese White,Quinta das Arcas,0
36324,36324,Portugal,"Alvarinho from the north of the Vinho Verde gives a ripe, creamy textured wine that also has a cool feel to it. It is juicy, with a fine floral character as well as ripe lemon and apple flavors. Drink this wine now.",Toucas,87,20.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2014 Toucas Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,0
36332,36332,Portugal,"A bright, lemon flavored wine with tight acidity and an attractive mineral texture. It is floral, zesty and very ready to drink.",,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Vila Nova 2015 Loureiro (Vinho Verde),Loureiro,Vila Nova,0
36794,36794,Portugal,"Fruity and light, this is a Vinho Verde that is on the light, sweet side. It has ample acidity to go with the sherbet flavor. This ready to drink wine would be a good apéritif.",Pavão Branco,85,,Vinho Verde,,,Roger Voss,@vossroger,Vercoope 2012 Pavão Branco White (Vinho Verde),Portuguese White,Vercoope,0
37293,37293,Portugal,"Ripe Alvarinho from its home turf in the Minho Valley, this wine is immediately attractive while also having a more serious intent. There is a crisp apple edge to this textured wine along with a creamy character that makes it both smooth and intense. Drink this from early 2018.",QM,91,23.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2016 QM Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,1
37690,37690,Portugal,"Floral, aromatic and light in texture, this has attractive prickle on the palate, with sweetness on the finish. A fine summer quaffer.",,84,,Vinho Verde,,,Roger Voss,@vossroger,Lagosta 2011 White (Vinho Verde),Portuguese White,Lagosta,0
38693,38693,Portugal,"Made using skin contact to give extra intensity to the fruit flavor and structure, this is a ripe and full wine. It has creamed apple and pineapple flavors, with tangy acidity that bursts like berries on the palate. Drink this impressive wine from late 2016.",Contacto,92,,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2014 Contacto Alvarinho (Vinho Verde),Alvarinho,Anselmo Mendes,1
39004,39004,Portugal,"This is a bright, fruity, off-dry wine that is crisp and clean. It has a fine light touch of acidity and white fruits. Aromatic and attractively perfumed, it is ready now.",Xadrez,85,7.0,Vinho Verde,,,Roger Voss,@vossroger,Global Wines 2015 Xadrez White (Vinho Verde),Portuguese White,Global Wines,0
39115,39115,Portugal,"From selected grapes, this partially wood-aged wine is a rich take on Vinho Verde. It has weight and a fine creamy texture. The acidity and the orange zest flavors are filled out with ripe apples and green plums with just a hint of toast. Drink from late 2017.",Grande Escolha,91,18.0,Vinho Verde,,,Roger Voss,@vossroger,Casa do Valle 2016 Grande Escolha White (Vinho Verde),Portuguese White,Casa do Valle,1
39810,39810,Portugal,"A superior Vinho Verde, elegant and full-bodied. The creamy texture is partnered with ripe apricot and pear fruits, a touch of green plum and a feeling of opulence along with the acidity. Drink now, or age a year.",Toucas,91,19.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2012 Toucas Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,1
39826,39826,Portugal,"From a series of single variety wines from Vilacetinho, this Loureiro shows the aromatic character that has made this an increasingly popular variety for local producers. It has a delicate perfume, great acidity, and crispness and a very direct apple quality that is deliciously cool.",,90,15.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2012 Loureiro (Vinho Verde),Loureiro,Casa de Vilacetinho,1
41470,41470,Portugal,"Lightly prickly on the tongue, this is a refreshing, almost dry wine. It is bright, lively and fruity with citrus and crisp apple flavors. The wine is light and bright with plenty of acidity at the end.",Aveleda,86,9.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2015 Aveleda White (Vinho Verde),Portuguese White,Aveleda,0
41592,41592,Portugal,"Avesso, a rare varietal in the Vinho Verde region, has produced a smooth and ripe wine. It has flavors of green olive, pear and a tight citrus character. There's fine depth of flavor on this delicious wine.",,88,16.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Gomariz 2011 Avesso (Vinho Verde),Avesso,Quinta de Gomariz,0
42306,42306,Portugal,"Azal is one of most widely planted vines in Vinho Verde. It gives an attractive wine, with high acidity. This wine is crisp with lemon and with a tangy aftertaste. Drink now.",Dom Diogo Colheita Seleccionada,86,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2015 Dom Diogo Colheita Seleccionada Azal (Vinho Verde),Azal,Quinta da Raza,0
42320,42320,Portugal,"With its light prickle on the tongue and mineral texture, this is a crisp, dry wine. It is floral with pineapple and bright apple flavors. The acidity and the tangy orange zest all add to the freshness of the wine. Drink now.",,86,12.0,Vinho Verde,,,Roger Voss,@vossroger,Vila Nova 2015 White (Vinho Verde),Portuguese White,Vila Nova,0
43181,43181,Portugal,"This is classic, ripe and creamy Alvarinho. It has a mineral edge to keep the boisterous yellow fruits and ripe perfumed flavors in order. The wine is ready to drink, full of fruit and freshness.",QM,90,22.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2015 QM Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,1
43240,43240,Portugal,"A bright crisp wine with attractive acidity and citrus flavors. Off dry, packed with fruit and with a gentle mousse, it is ready to drink.",Casal Garcia,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Sparkling (Vinho Verde),Portuguese Sparkling,Aveleda,0
43482,43482,Portugal,A blend of two of Vinho Verde's richer grapes results in this concentrated full-bodied wine. It is smooth and rich with fruit flavors ranging from citrus to apricot. The acidity is cushioned by the ripe texture. Drink this serious from late 2017.,Avesso-Alvarinho Colheita Seleccionada,90,17.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Raza 2016 Avesso-Alvarinho Colheita Seleccionada White (Vinho Verde),Portuguese White,Quinta da Raza,1
43548,43548,Portugal,This is a sweet and soft rosé. It has perfumed red-berry fruits that are given a lift by the acidity. The finish is fresh while sweet.,,84,,Vinho Verde,,,Roger Voss,@vossroger,Lago Cerqueira 2014 Rosé (Vinho Verde),Rosé,Lago Cerqueira,0
43556,43556,Portugal,"This wine is clean, fresh and fruity. It is medium sweet, with a bright candy-pink color and light acidity. Drink now.",Portal da Calçada,84,,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Calçada 2014 Portal da Calçada Rosé (Vinho Verde),Rosé,Quinta da Calçada,0
43557,43557,Portugal,"With its fresh prickle on the tongue and off-dry character, this is an easy, lemon-candy flavored wine that is best drunk young and well chilled. The finish is fresh and crisp.",,84,,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Lourosa 2014 White (Vinho Verde),Portuguese White,Quinta de Lourosa,0
43568,43568,Portugal,"This medium-sweet sparkling wine is soft and rounded. It has an attractive mousse, with some fresh acidity to give the sweetness a lift. The aftertaste is clean and fruity.",Casal Garcia Medium Dry,84,11.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Medium Dry Sparkling (Vinho Verde),Portuguese Sparkling,Aveleda,0
43569,43569,Portugal,"This is a sweet sparkling wine that's based around the red grapes of Vinho Verde. It is light and fruity, surrounded by a ripe strawberry flavor and attractive acidity. Drink now.",Casal Garcia Rosé,84,11.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Rosé Sparkling (Vinho Verde),Portuguese Sparkling,Aveleda,0
43572,43572,Portugal,"While this wine has eye-watering acidity, it also has a sweet backdrop of fruit candies and lemon tang. It is ready to drink.",,84,,Vinho Verde,,,Roger Voss,@vossroger,Lago Cerqueira 2014 White (Vinho Verde),Portuguese White,Lago Cerqueira,0
43615,43615,Portugal,"This is a fruity, crisp wine with an attractive balance between acidity and sweetness. Ripe strawberries give the fruit flavor while the acidity at the light prickle on the palate add a crisper aftertaste. Drink now.",Alto Lima,84,10.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2015 Alto Lima Rosé (Vinho Verde),Rosé,Viniverde,0
43625,43625,Portugal,"Produced from the Espadeiro, a grape widely used in red Vinho Verde, this is a crisp wine with just a touch of candied sweetness. Strawberry fruit is given a blast of acidity. It is ready to drink.",Espadeiro Colheita Seleccionada,84,14.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Gomariz 2015 Espadeiro Colheita Seleccionada Rosé (Vinho Verde),Rosé,Quinta de Gomariz,0
44092,44092,Portugal,"Green apple notes give way to grapefruit and melon, but tart lime and green apple flavors power this wine.",,84,7.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quinta da Aveleda 2001 Loureiro (Vinho Verde),Loureiro,Quinta da Aveleda,0
44124,44124,Portugal,"An elegant Alvarinho from the north of the Vinho Verde region. It has some wood aging, rounding out the acidity of the fruit and introducing a spiced orange and lime character, full-bodied and ripe. It could age until 2015, but is ready to drink.",,90,19.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Santiago 2012 Alvarinho (Vinho Verde),Alvarinho,Quinta de Santiago,1
44473,44473,Portugal,"This is a ripe, creamy wine—a fine example of the richness Alvarinho can attain. It has fine fruitiness, citrus, ripe apple and pear flavors balanced by a mineral texture and acidity. Drink this fine wine from 2018.",,89,14.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2016 Alvarinho (Vinho Verde),Alvarinho,Aveleda,0
44863,44863,Portugal,"This wine is on the sweet side of crisp, with ripe strawberry and plenty of acidity. It is a wine to chill, with its bright aftertaste and slight prickle on the tongue. Drink now.",Mapreco,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Enoport 2016 Mapreco Rosé (Vinho Verde),Rosé,Enoport,0
44892,44892,Portugal,"Half-and-half Alvarinho and Trajadura, the wine is dry, crisp and with just a touch of fizz. Grapefruit and lemon flavors mingle with softer apples to give a bright and lively wine that is just made for summer food. Drink now.",Aromas das Castas Grande Escolha,86,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Lixa 2016 Aromas das Castas Grande Escolha White (Vinho Verde),Portuguese White,Quinta da Lixa,0
46559,46559,Portugal,"Fresh and lightly sparkling, this is a crisp, citrus-driven wine. Its acidity is just right, fruity while well integrated. Some sweetness at the end makes it fine for apéritif drinking.",Grande Escolha,85,11.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2013 Grande Escolha White (Vinho Verde),Portuguese White,Casa de Vilacetinho,0
46561,46561,Portugal,"Soft, fruity and off dry, this is a typically fresh and light-hearted Vinho Verde. Attractive apple and lemon flavors shine through the lightly prickly texture. Drink immediately.",Aliança,85,6.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Aliança 2013 Aliança White (Vinho Verde),Portuguese White,Caves Aliança,0
46579,46579,Portugal,"This medium-sweet, fruity wine is both light and crisp. Attractive acidity contrasts with the sparkling texture and the sugared citrus. It's very ready to drink.",Vilacentinho,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2013 Vilacentinho White (Vinho Verde),Portuguese White,Casa de Vilacetinho,0
47120,47120,Portugal,"A wood-fermented and -aged wine, this tones down the fruity freshness of Alvarinho and instead brings out a smooth, toasty and ripe character. Rich apricot and pineapple flavors and acidity are enveloped by notes of toast and spice. This impressive wine is still developing, so drink from the end of 2016.",Reserva,91,35.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Soalheiro 2013 Reserva Alvarinho (Vinho Verde),Alvarinho,Quinta de Soalheiro,1
47962,47962,Portugal,"In a richer style of Vinho Verde but nevertheless retaining plenty of cool, fresh characters. The wine has vivid grapefruit, lime and green apple flavors, rounded out attractively.",Monte Cascas Colheita,88,16.0,Vinho Verde,,,Roger Voss,@vossroger,Casca Wines 2009 Monte Cascas Colheita White (Vinho Verde),Portuguese White,Casca Wines,0
48086,48086,Portugal,"If any producer is going to make sense of Vinhão in red Vinho Verde, it's biodynamic producer Casal do Paço Padreiro. This has some richness as well as the typical cool-climate acidity, with a touch of spice and a balanced, smooth finish. Drink within the year.",Aphros,88,18.0,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro 2011 Aphros Vinhão (Vinho Verde),Vinhão,Casal Paço Padreiro,0
48089,48089,Portugal,"This is a bone-dry, piercingly fresh wine. It has tense acidity and a mineral texture that would make it delicious as an accompaniment to seafood. The wine is crisp, refreshing and bright.",Quinta de Lourosa,88,8.0,Vinho Verde,,,Roger Voss,@vossroger,Dão Sul 2011 Quinta de Lourosa White (Vinho Verde),Portuguese White,Dão Sul,0
48548,48548,Portugal,"Here's a caramel and red fruit-flavored wine that is soft and round. It is light and bright, with a light prickle on the tongue as well as a tangy, orange peel texture. Screwcap.",,84,,Vinho Verde,,,Roger Voss,@vossroger,Vera 2012 Rosé (Vinho Verde),Rosé,Vera,0
48549,48549,Portugal,"Light, fresh and sweet, here is an attractive, red fruit-flavored wine. It has the typical Vinho Verde prickle, along with balanced acidity that gives a crisp aftertaste.",Pavão,84,,Vinho Verde,,,Roger Voss,@vossroger,Vercoope 2012 Pavão Rosé (Vinho Verde),Rosé,Vercoope,0
49537,49537,Portugal,"This is a finely made wine, fresh and crisp. It is dry but with a soft texture that turns it into a wine that's both good with food and as an apéritif. The aftertaste is crisp and still fruity.",Portugal Ramos,87,10.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2016 Portugal Ramos Rosé (Vinho Verde),Rosé,J. Portugal Ramos,0
49624,49624,Portugal,"A sweet, soft, clean wine, anonymous almost. Yes, there is freshness, lightness, but all the time the awkward, unbalancing sweetness pulls it down. Drink very chilled.",,82,5.0,Vinho Verde,,,Roger Voss,@vossroger,Lagosta 2008 White (Vinho Verde),Portuguese White,Lagosta,0
49898,49898,Portugal,"Bright and fresh, a great mouthful of lemongrass spices, lime and tight, young flavors of grapefruit. The acidity suffuses the wine, lifting it, giving the fruit a vivid character. There is a clean, mineral aftertaste.",,88,,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vila Verde 2007 Alvarinho (Vinho Verde),Alvarinho,Casa de Vila Verde,0
50306,50306,Portugal,"This crisp, lightly sparkling, off-dry Vinho Verde offers attractive acidity and bright citrus flavors, with hints of apple and green plum. Light and fresh, it's ready to drink now.",Twin Vines,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,José Maria da Fonseca 2013 Twin Vines White (Vinho Verde),Portuguese White,José Maria da Fonseca,0
51122,51122,Portugal,"Just off dry, this is a bright and crisp wine that bounces round the palate. It is summer apéritif time with this vivid, pink grapefruit-flavored wine.",Fonte,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2009 Fonte White (Vinho Verde),Portuguese White,Aveleda,0
51215,51215,Portugal,"This is an attractive wine that is crisp while also having a soft background texture. It is fruity, perfumed and balanced. Drink now.",Tres Castas,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2014 Tres Castas White (Vinho Verde),Portuguese White,Campelo,0
52303,52303,Portugal,"This is a grapefruit- and apple-flavored wine with a lively prickle on the palate. Bright and dry, this is sharpened by a citrus flavor and acidity. Ready to drink.",Paço de São Lourenço,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Solar de Pinheiro 2011 Paço de São Lourenço White (Vinho Verde),Portuguese White,Solar de Pinheiro,0
52340,52340,Portugal,"With a few months aging, the baby freshness of this wine has turned into ripe fruit with fresh apricot as well as citrus flavors. It's a bright wine, of course, full of lively acidity while having this extra layer of richness that comes from ripe Alvarinho. Drink now.",,88,,Vinho Verde,,,Roger Voss,@vossroger,Dom Ponciano 2014 Alvarinho (Vinho Verde),Alvarinho,Dom Ponciano,0
52880,52880,Portugal,"A rich wood-aged wine, this is dense and creamy. With acidity and toast, ripe apples as well as spice, the wine is made to age. Coming from the Alvarinho heartland of Melgaço on Portugal's northern border, the wine has minerality and great intensity. It will be good until at least 2020.",Reserva,92,40.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Soalheiro 2015 Reserva Alvarinho (Vinho Verde),Alvarinho,Quinta de Soalheiro,1
52990,52990,Portugal,"Alvarinho is best from the far north of Vinho Verde, which is the source for this wine. It gives a full, rich, very ripe wine that's rounded and packed with yellow fruits and a tight mineral and lemon juice character. The wine also has youth on its side and could age for several more years. Drink from 2014.",,91,,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2012 Alvarinho (Vinho Verde),Alvarinho,J. Portugal Ramos,1
53016,53016,Portugal,"This is a shade off-dry, with ample crispness, a bright, prickly lightness and delicate texture. It's a great apéritif style, with its soft edge and easygoing freshness, that's ready to drink now.",Vilacetinho,86,7.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2012 Vilacetinho White (Vinho Verde),Portuguese White,Casa de Vilacetinho,0
53406,53406,Portugal,"A blend of Alvarinho and Trajadura from vineyards in the far north of the Vinho Verde region. The wine is rich, aromatic, creamy. It has the right prickle in the mouth, with a final lemon peel character.",Varanda do Conde,90,,Vinho Verde,,,Roger Voss,@vossroger,Provam 2010 Varanda do Conde White (Vinho Verde),Portuguese White,Provam,1
53587,53587,Portugal,"Young and fresh with an attractive prickle on the tongue, this medium-sweet Vinho Verde is well cut with acidity. Accented with apple and citrus, it is bright and ready to drink. Screwcap.",,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,FVine 2013 White (Vinho Verde),Portuguese White,FVine,0
53790,53790,Portugal,"The family vineyards of consultant Anselmo Mendes are in the north of the Vinho Verde region the home of Alvarinho, so it's no surprise that this wine is a great interpetation of the grape. It is almost luscious in its intensity and richness. Orange, ripe apple and intense citrus flavors are encased in a generous, full-bodied wine. Drink now, although this wine will be even better from 2017.",Muros Antigos,91,25.0,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2015 Muros Antigos Alvarinho (Vinho Verde),Alvarinho,Anselmo Mendes,1
